이름,재료,알레르기,선호_요리,레시피_과정
제육볶음,"돼지고기 목살 300g, 양파 1/2개, 대파 1/2개, 고추장 3T, 고춧가루 1T, 설탕 1T, 마늘 1T, 간장 1T, 참기름 1t",없음,한식,돼지고기를 양념장에 버무려 30분 재웁니다. 팬에 고기를 먼저 볶다가 양파와 대파를 넣고 완전히 익을 때까지 볶아줍니다.
불고기,"소고기 불고기감 300g, 양파 1/2개, 대파 1/2개, 간장 4T, 설탕 2T, 마늘 1T, 참기름 1T, 후추 약간",없음,한식,소고기와 채소를 간장 양념에 재웁니다. 팬에 모두 넣고 센 불에서 빠르게 볶아줍니다. 국물이 자작하게 남도록 조리합니다.
김치찌개 (돼지고기),"김치 300g, 돼지고기 150g, 두부, 양파 1/4개, 대파, 김치 국물, 고춧가루 1t, 물",없음,한식,"돼지고기와 김치를 냄비에 넣고 볶습니다. 김치 국물과 물을 넣고 끓이다가 두부, 양파, 대파를 넣고 푹 끓여줍니다."
소고기 미역국,"소고기 국거리 100g, 마른 미역 10g, 국간장 2T, 참기름 1T, 물",없음,한식,"미역을 불려 씻고, 냄비에 참기름을 두르고 소고기와 미역을 볶습니다. 국간장으로 간하고 물을 부어 푹 끓여줍니다."
참치 김치볶음밥,"밥 1공기, 김치 1/4포기, 참치 캔 1개, 양파 1/4개, 김칫국물 1T, 참기름 1t, 깨",없음,한식,"팬에 참치 기름을 두르고 김치를 볶습니다. 양파와 참치를 넣고 볶다가 밥과 김칫국물, 참기름을 넣고 빠르게 섞어 볶아줍니다."
콩나물 국,"콩나물 200g, 대파 1/2개, 마늘 1t, 국간장 1T, 물",없음,한식,냄비에 물을 끓여 콩나물을 넣고 끓입니다. 콩나물이 익으면 국간장으로 간하고 대파와 마늘을 넣고 마무리합니다.
감자채 볶음,"감자 2개, 양파 1/4개, 소금, 식용유",없음,한식,감자를 채 썰어 물에 담가 전분을 뺍니다. 팬에 기름을 두르고 감자와 양파를 볶다가 소금으로 간을 맞춰줍니다.
계란찜,"계란 3개, 물 100ml, 소금 약간, 파 약간",계란,한식,계란을 풀고 물과 소금을 섞어 체에 거릅니다. 뚝배기에 담아 약불로 끓이다가 뚜껑을 덮어 익히고 파를 올립니다.
잔치국수,"소면 100g, 애호박 1/4개, 당근 1/4개, 김치 약간, 계란 1개, 멸치육수","계란, 밀",한식,"멸치육수를 끓이고 소면을 삶아냅니다. 애호박, 당근을 채썰어 볶습니다. 소면 위에 육수와 고명을 올리고 양념장과 함께 냅니다."
어묵볶음,"사각 어묵 3장, 양파 1/4개, 간장 2T, 물엿 1T, 마늘 1t",없음,한식,"어묵을 썰어 팬에 기름을 두르고 볶습니다. 양파를 넣고 양파가 투명해지면 간장, 물엿, 마늘을 넣고 빠르게 볶아줍니다."
삼겹살 김치 치즈 리조또,"밥 1공기, 삼겹살 150g, 김치 100g, 양파 1/4개, 모짜렐라 치즈, 우유 50ml, 소금/후추",우유,양식,"삼겹살을 볶고 김치와 양파를 넣습니다. 밥, 우유를 넣고 섞어 끓이다가 치즈를 올리고 녹입니다."
갈릭 버터 라이스,"밥 1공기, 마늘 5개, 버터 2T, 간장 1T, 파 약간",우유,양식,"마늘을 슬라이스하고 버터에 볶아 마늘칩을 만듭니다. 팬에 버터를 녹여 간장, 밥을 넣고 볶습니다. 마늘칩과 파를 뿌려 완성합니다."
참치 마요 덮밥,"밥 1공기, 참치 캔 1개, 마요네즈 2T, 간장 1T, 양파 1/4개, 김가루",없음,퓨전,"참치캔 기름을 빼고 마요네즈, 간장과 섞습니다. 밥 위에 양파채와 마요네즈 참치를 올리고 김가루를 뿌립니다."
토마토 달걀 볶음,"토마토 2개, 계란 3개, 파 약간, 소금, 후추, 식용유",계란,중식,"토마토를 깍둑썰고, 계란을 풀어 스크램블 합니다. 팬에 토마토와 파를 볶다가 스크램블 에그를 넣고 소금, 후추로 간합니다."
크림 수프,"우유 200ml, 양파 1/4개, 밀가루 1T, 버터 1T, 소금/후추","우유, 밀",양식,"냄비에 버터를 녹이고 밀가루를 볶아 루(Roux)를 만듭니다. 우유를 조금씩 넣고 섞다가 양파를 넣고 끓입니다. 소금, 후추로 간합니다."
닭갈비,"닭다리살 500g, 양파 1개, 고구마 1개, 깻잎, 고추장 4T, 고춧가루 2T, 간장 2T, 설탕 2T, 마늘 1T",없음,한식,닭고기와 야채를 썰어 양념장에 버무립니다. 팬에 닭고기를 먼저 볶다가 야채를 넣고 닭고기가 완전히 익을 때까지 볶아줍니다.
잡채,"당면 150g, 시금치, 당근 1/2개, 양파 1/2개, 소고기 100g, 간장, 설탕, 참기름",없음,한식,"당면을 삶아 간장, 설탕으로 간합니다. 시금치, 당근, 양파, 소고기를 각각 볶습니다. 모든 재료를 섞고 참기름을 넣어 버무립니다."
비빔밥,"밥 1공기, 고사리, 도라지, 시금치, 소고기 50g, 계란 1개, 고추장, 참기름",계란,한식,"각종 나물과 소고기를 볶습니다. 밥 위에 나물, 소고기를 올리고 계란 후라이를 올립니다. 고추장과 참기름을 넣어 비벼 먹습니다."
해물파전,"쪽파 10대, 오징어 100g, 새우 50g, 밀가루 1컵, 계란 1개, 물, 간장 양념","계란, 밀, 새우, 오징어",한식,밀가루 반죽에 쪽파와 해물을 넣습니다. 팬에 반죽을 얇게 펴고 계란물을 위에 부어 앞뒤로 노릇하게 구워냅니다.
순두부찌개,"순두부 300g, 돼지고기 50g, 양파 1/4개, 대파, 고춧가루 2T, 간장 1T, 참기름 1t, 물",없음,한식,"냄비에 참기름과 고춧가루를 넣고 볶아 고추기름을 만듭니다. 돼지고기, 양파를 넣고 볶다가 순두부와 물을 넣고 끓입니다. 간장과 소금으로 간을 맞춥니다."
북엇국,"북어채 30g, 계란 1개, 두부, 대파, 참기름 1T, 국간장 1T, 물",계란,한식,북어채를 불려 참기름에 볶다가 물을 넣고 끓입니다. 두부를 넣고 국간장으로 간합니다. 마지막에 계란물을 풀고 대파를 넣습니다.
육개장,"소고기 국거리 200g, 토란대, 고사리, 숙주나물, 고춧가루 3T, 간장 2T, 마늘 1T, 물",없음,한식,"소고기를 끓여 육수를 내고 건져냅니다. 고기와 나물을 고춧가루, 간장, 마늘로 버무려 육수에 넣고 푹 끓입니다."
된장찌개 (멸치육수),"된장 2T, 두부 1/2모, 호박 1/4개, 양파 1/4개, 멸치육수, 대파",없음,한식,"멸치육수를 끓이고 된장을 풀어줍니다. 호박, 양파를 넣고 끓이다가 두부, 대파를 넣고 마무리합니다."
